시군구,행정동,정류장번호(ID),정류장명,상세위치,위도,경도,정류장설치유형,시내버스_경유노선번호,시외버스_경유노선번호,레드존여부,중앙차로여부,미세먼지 측정센서 설치여부,와이파이설치여부,안전비상벨설치여부,버스정보안내단말기(BIT) 유형,의자설치유형,바람막이설치여부,냉온풍기설치여부,공기청정기설치여부
성남시,삼평동,7517,봇들마을5단지.테크노육교,주공휴먼시아5단지A,37.401433 ,127.113150 ,쉘터형,"3000(시내),370(시내),55(시내),310(시내),4000(시내),누리2(시내)",해당없음,N,N,N,N,N,LED(5단16열),일반의자,N,N,N
성남시,삼평동,7520,메디포스트,SK텔레시스판교연구소,37.399950 ,127.108717 ,쉘터형,"75(마을),380(시내)",해당없음,N,N,N,Y,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7521,봇들마을5단지,평양면옥,37.401400 ,127.112750 ,쉘터형,"누리2(시내),107(마을),370(시내),4000(시내),6003(시내),55(시내),310(시내)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,삼평동,7522,NC소프트,판교테크노밸리E블럭,37.399733 ,127.108617 ,쉘터형,"380(시내),75(마을)",해당없음,N,N,N,N,N,LCD(가로형 32''),일반의자,N,N,N
성남시,운중동,7523,노인요양원,노인요양원,37.375450 ,127.045167 ,지주형,누리3(시내),해당없음,N,N,N,N,N,미설치,미설치,N,N,N
성남시,운중동,7524,석운동종점,석운동 종점 삼거리,37.366650 ,127.050383 ,기타,누리3(시내),해당없음,N,N,N,N,N,미설치,미설치,N,N,N
성남시,운중동,7525,두영전자,두영전자 앞,37.368033 ,127.050567 ,기타,누리3(시내),해당없음,N,N,N,N,N,미설치,미설치,N,N,N
성남시,운중동,7526,노인요양원,노인요양원,37.375767 ,127.045350 ,지주형,누리3(시내),해당없음,N,N,N,N,N,미설치,미설치,N,N,N
성남시,운중동,7527,두영전자,두영전자 건너,37.367683 ,127.050383 ,기타,누리3(시내),해당없음,N,N,N,N,N,미설치,미설치,N,N,N
성남시,운중동,7532,건영LIG앞,판교LIG건영리가A건너,37.389933 ,127.068383 ,쉘터형,75(마을),해당없음,N,N,N,N,N,미설치,일반의자,N,N,N
