정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
동인천동행정복지센터,35805,94,139,94,139,,7
동인천역,35185,98778,44992,98538,44992,240,4792
동인천역,35187,4590,9872,4548,9872,42,482
동인천역,35191,68801,86014,68497,86014,304,5160
동인천역,35192,10494,20659,10372,20659,122,1038
동인천역북광장,36136,24153,15953,24055,15953,98,1336
동인천역북광장,36137,28778,15195,28724,15195,54,1465
동인천중학교,39229,1542,770,1526,770,16,77
동인천중학교,39230,1726,1250,1719,1250,7,99
동일방직,36031,3381,3083,3370,3083,11,215
동일방직,36032,3373,2910,3362,2910,11,209
동일아파트,35177,442,1311,416,1311,26,58
동작세무서,20005,56,455,56,455,,17
동주농장,43349,2,4,2,4,,0
동주농장,43401,13,1,13,1,,0
동촌,43407,109,,109,,,3
동촌,43793,5,84,5,84,,2
동춘2동행정복지센터,38045,1143,6095,1133,6095,10,241
동춘2동행정복지센터,38046,5915,736,5882,736,33,221
동춘동종점,38037,390,998,358,998,32,46
동춘동차고지,38569,574,285,550,285,24,28
동춘롤러경기장,38704,330,553,330,553,,29
동춘마을아파트,38082,6383,5413,6358,5413,25,393
동춘마을아파트,38087,3094,6655,3092,6655,2,324
동춘역,38346,31534,22002,31464,22002,70,1784
동춘역(이마트),38060,13898,636,13898,636,,484
동춘역(이마트.스퀘어원),38070,29320,38139,29315,38139,5,2248
돼지슈퍼.간동입구,80019,62,932,61,932,1,33
두두미마을,43289,13,,12,,1,0
두두미마을,43869,,5,,5,,0
두밀경노당,89328,16,124,13,124,3,4
두밀경노당,89331,114,6,113,6,1,4
두산아파트,40564,1987,3715,1944,3715,43,190
두산위브아파트,37043,13996,8837,13973,8837,23,761
두산위브아파트,40630,10954,638,10937,638,17,386
두산위브아파트,40648,393,1261,393,1261,,55
두운1리마을회관앞,90047,,30,,30,,1
두운1리마을회관앞,90048,39,4,39,4,,1
두운리,43034,12,35,12,35,,1
두운리,43540,99,252,99,252,,11
둑실경로당,41498,2,36,2,36,,1
둑실경로당,41514,69,,69,,,2
둑실동(아라마루전망대),41494,1,48,1,48,,1
둑실동(아라마루전망대),41512,148,6,145,6,3,5
둑실동회차지,41500,42,36,42,36,,2
둥개마을오거리,35861,,37,,37,,1
